epoch,accuracy,loss,val_accuracy,val_loss
0,0.6675,0.6095111052195231,0.70703125,0.47837739530950785
1,0.80541664,0.43380732923746107,0.83203125,0.3882804699242115
2,0.84041667,0.3593365007638931,0.89453125,0.27454950334504247
3,0.85333335,0.3244782741367817,0.88671875,0.2804441540502012
4,0.86083335,0.3227957746386528,0.84375,0.33657702803611755
5,0.86791664,0.31392867093284926,0.875,0.31532014161348343
6,0.875,0.30045071030656495,0.87109375,0.30735465325415134
7,0.87666667,0.2962202133983374,0.88671875,0.24340560100972652
8,0.87625,0.2819086610029141,0.84375,0.34290804900228977
9,0.87125,0.2908296968539556,0.859375,0.3192823501303792
10,0.87416667,0.2887043077747027,0.86328125,0.2882113689556718
11,0.87708336,0.2949224889775117,0.859375,0.3095866795629263
12,0.87166667,0.2813820680975914,0.8984375,0.26070077810436487
13,0.88416666,0.2671545261641343,0.87109375,0.29995965026319027
14,0.87416667,0.2939175577958425,0.86328125,0.2955907587893307
15,0.885,0.2857953395694494,0.81640625,0.36076525412499905
16,0.88916665,0.26557633228600025,0.85546875,0.3386380039155483
17,0.895,0.2596210137009621,0.89453125,0.2526800234336406
18,0.89458334,0.23463782504200936,0.86328125,0.2657667282037437
19,0.89916664,0.24497594801088174,0.8671875,0.2725521237589419
20,0.8958333,0.24762681464354197,0.91015625,0.2459293669089675
21,0.9025,0.23721239399164915,0.91796875,0.22727984376251698
22,0.9166667,0.22119195183118184,0.875,0.2626287506427616
23,0.9058333,0.2223814931884408,0.8671875,0.28144733095541596
24,0.8975,0.2369430181135734,0.90234375,0.2260697882156819
25,0.90875,0.21906695045530797,0.87109375,0.31348021794110537
26,0.9058333,0.21987670499831438,0.91015625,0.27157981414347887
27,0.91333336,0.20914271369576454,0.89453125,0.23655636375769973
28,0.9145833,0.20946782223880292,0.90625,0.2254213630221784
29,0.9141667,0.21659107881287734,0.90234375,0.2549431005027145
